x,y,z
-0.5725,0.0,1.0
-0.5683115160233286,0.005,1.0
-0.56412486925416,0.01,1.0
-0.5599418960941374,0.015,1.0
-0.5557644313335369,0.02,1.0
-0.5515943073464693,0.025,1.0
-0.5474333532871392,0.03,1.0
-0.5432833942875177,0.035,1.0
-0.5391462506567796,0.04,1.0
-0.5350237370828551,0.045,1.0
-0.5309176618364482,0.05,1.0
-0.5268298259778689,0.055,1.0
-0.5227620225670291,0.06,1.0
-0.5187160358769468,0.065,1.0
-0.5146936406111057,0.07,1.0
-0.5106966011250105,0.075,1.0
-0.5067266706522834,0.08,1.0
-0.502785590535637,0.085,1.0
-0.4988750894630644,0.09,1.0
-0.4949968827095794,0.095,1.0
-0.49115267138484,0.1,1.0
-0.4873441416869855,0.105,1.0
-0.48357296416301454,0.11,1.0
-0.47984079297602766,0.115,1.0
-0.47614926517965694,0.12,1.0
-0.47250000000000003,0.125,1.0
-0.468894598125374,0.13,1.0
-0.4653346410042007,0.135,1.0
-0.46182169015133123,0.14,1.0
-0.4583572864631137,0.145,1.0
-0.4549429495415054,0.15,1.0
-0.45158017702752506,0.155,1.0
-0.44827044394433796,0.16,1.0
-0.445015202050262,0.165,1.0
-0.4418158792019789,0.17,1.0
-0.4386738787282284,0.17500000000000002,1.0
-0.4355905788142622,0.18,1.0
-0.4325673318973269,0.185,1.0
-0.42960546407343936,0.19,1.0
-0.4267062745157177,0.195,1.0
-0.42387103490452116,0.2,1.0
-0.4211009888696487,0.20500000000000002,1.0
-0.41839735144484214,0.21,1.0
-0.41576130853483206,0.215,1.0
-0.41319401639516073,0.22,1.0
-0.4106966011250105,0.225,1.0
-0.4082701581732592,0.23,1.0
-0.4059157518579801,0.23500000000000001,1.0
-0.403634414899597,0.24,1.0
-0.4014271479678987,0.245,1.0
-0.39929491924311233,0.25,1.0
-0.3972386639912273,0.255,1.0
-0.3952592841537571,0.26,1.0
-0.3933576479521175,0.265,1.0
-0.3915345895067961,0.27,1.0
-0.3897909084714798,0.275,1.0
-0.3881273696822999,0.28,1.0
-0.3865447028223497,0.28500000000000003,1.0
-0.3850436021016217,0.29,1.0
-0.38362472595250374,0.295,1.0
-0.38228869674096927,0.3,1.0
-0.3810361004935865,0.305,1.0
-0.3798674866404683,0.31,1.0
-0.3787833677742738,0.315,1.0
-0.3777842194253679,0.32,1.0
-0.37687047985323885,0.325,1.0
-0.3760425498542622,0.33,1.0
-0.375300792585899,0.335,1.0
-0.37464553340740236,0.34,1.0
-0.3740770597371045,0.34500000000000003,1.0
-0.37359562092634535,0.35000000000000003,1.0
-0.37320142815009916,0.355,1.0
-0.37289465431434565,0.36,1.0
-0.3726754339802283,0.365,1.0
-0.37254386330503086,0.37,1.0
-0.3725,0.375,1.0
-0.37254386330503086,0.38,1.0
-0.3726754339802283,0.385,1.0
-0.37289465431434565,0.39,1.0
-0.37320142815009916,0.395,1.0
-0.37359562092634535,0.4,1.0
-0.3740770597371045,0.405,1.0
-0.37464553340740236,0.41000000000000003,1.0
-0.375300792585899,0.41500000000000004,1.0
-0.3760425498542622,0.42,1.0
-0.37687047985323885,0.425,1.0
-0.3777842194253679,0.43,1.0
