x,y,z
0.1145,0.0,1.0
0.1186884839766714,0.005,1.0
0.12287513074583993,0.01,1.0
0.12705810390586267,0.015,1.0
0.1312355686664631,0.02,1.0
0.1354056926535307,0.025,1.0
0.13956664671286084,0.03,1.0
0.14371660571248232,0.035,1.0
0.14785374934322046,0.04,1.0
0.15197626291714494,0.045,1.0
0.15608233816355188,0.05,1.0
0.16017017402213116,0.055,1.0
0.16423797743297097,0.06,1.0
0.16828396412305316,0.065,1.0
0.17230635938889433,0.07,1.0
0.1763033988749895,0.075,1.0
0.18027332934771667,0.08,1.0
0.18421440946436307,0.085,1.0
0.1881249105369356,0.09,1.0
0.19200311729042058,0.095,1.0
0.19584732861516005,0.1,1.0
0.19965585831301452,0.105,1.0
0.20342703583698551,0.11,1.0
0.20715920702397234,0.115,1.0
0.21085073482034306,0.12,1.0
0.21449999999999997,0.125,1.0
0.21810540187462601,0.13,1.0
0.2216653589957993,0.135,1.0
0.22517830984866882,0.14,1.0
0.2286427135368863,0.145,1.0
0.23205705045849462,0.15,1.0
0.235419822972475,0.155,1.0
0.23872955605566207,0.16,1.0
0.24198479794973798,0.165,1.0
0.2451841207980211,0.17,1.0
0.24832612127177167,0.17500000000000002,1.0
0.2514094211857378,0.18,1.0
0.2544326681026731,0.185,1.0
0.2573945359265607,0.19,1.0
0.2602937254842823,0.195,1.0
0.26312896509547884,0.2,1.0
0.2658990111303513,0.20500000000000002,1.0
0.26860264855515786,0.21,1.0
0.271238691465168,0.215,1.0
0.27380598360483926,0.22,1.0
0.2763033988749895,0.225,1.0
0.2787298418267408,0.23,1.0
0.28108424814201993,0.23500000000000001,1.0
0.283365585100403,0.24,1.0
0.2855728520321013,0.245,1.0
0.2877050807568877,0.25,1.0
0.2897613360087727,0.255,1.0
0.29174071584624295,0.26,1.0
0.2936423520478825,0.265,1.0
0.2954654104932039,0.27,1.0
0.2972090915285202,0.275,1.0
0.2988726303177001,0.28,1.0
0.3004552971776503,0.28500000000000003,1.0
0.3019563978983783,0.29,1.0
0.30337527404749626,0.295,1.0
0.30471130325903073,0.3,1.0
0.3059638995064135,0.305,1.0
0.3071325133595317,0.31,1.0
0.30821663222572626,0.315,1.0
0.3092157805746321,0.32,1.0
0.31012952014676115,0.325,1.0
0.3109574501457378,0.33,1.0
0.311699207414101,0.335,1.0
0.3123544665925977,0.34,1.0
0.3129229402628955,0.34500000000000003,1.0
0.31340437907365465,0.35000000000000003,1.0
0.3137985718499009,0.355,1.0
0.31410534568565435,0.36,1.0
0.3143245660197717,0.365,1.0
0.31445613669496914,0.37,1.0
0.3145,0.375,1.0
0.31445613669496914,0.38,1.0
0.3143245660197717,0.385,1.0
0.31410534568565435,0.39,1.0
0.31379857184990084,0.395,1.0
0.31340437907365465,0.4,1.0
0.3129229402628955,0.405,1.0
0.3123544665925977,0.41000000000000003,1.0
0.311699207414101,0.41500000000000004,1.0
0.3109574501457378,0.42,1.0
