x,y,z
-0.3435,0.0,1.0
-0.33931151602332865,0.005,1.0
-0.3351248692541601,0.01,1.0
-0.3309418960941374,0.015,1.0
-0.32676443133353694,0.02,1.0
-0.3225943073464693,0.025,1.0
-0.3184333532871392,0.03,1.0
-0.3142833942875177,0.035,1.0
-0.3101462506567796,0.04,1.0
-0.3060237370828551,0.045,1.0
-0.30191766183644814,0.05,1.0
-0.2978298259778689,0.055,1.0
-0.29376202256702905,0.06,1.0
-0.2897160358769469,0.065,1.0
-0.2856936406111057,0.07,1.0
-0.28169660112501055,0.075,1.0
-0.27772667065228335,0.08,1.0
-0.27378559053563695,0.085,1.0
-0.26987508946306443,0.09,1.0
-0.26599688270957944,0.095,1.0
-0.26215267138484,0.1,1.0
-0.2583441416869855,0.105,1.0
-0.25457296416301456,0.11,1.0
-0.2508407929760277,0.115,1.0
-0.247149265179657,0.12,1.0
-0.24350000000000005,0.125,1.0
-0.239894598125374,0.13,1.0
-0.2363346410042007,0.135,1.0
-0.23282169015133122,0.14,1.0
-0.2293572864631137,0.145,1.0
-0.2259429495415054,0.15,1.0
-0.22258017702752506,0.155,1.0
-0.21927044394433798,0.16,1.0
-0.21601520205026206,0.165,1.0
-0.21281587920197892,0.17,1.0
-0.20967387872822837,0.17500000000000002,1.0
-0.20659057881426227,0.18,1.0
-0.20356733189732693,0.185,1.0
-0.20060546407343935,0.19,1.0
-0.1977062745157177,0.195,1.0
-0.19487103490452118,0.2,1.0
-0.19210098886964871,0.20500000000000002,1.0
-0.18939735144484215,0.21,1.0
-0.18676130853483205,0.215,1.0
-0.18419401639516075,0.22,1.0
-0.18169660112501052,0.225,1.0
-0.1792701581732592,0.23,1.0
-0.1769157518579801,0.23500000000000001,1.0
-0.17463441489959702,0.24,1.0
-0.1724271479678987,0.245,1.0
-0.17029491924311232,0.25,1.0
-0.16823866399122733,0.255,1.0
-0.1662592841537571,0.26,1.0
-0.1643576479521175,0.265,1.0
-0.1625345895067961,0.27,1.0
-0.16079090847147984,0.275,1.0
-0.1591273696822999,0.28,1.0
-0.15754470282234972,0.28500000000000003,1.0
-0.15604360210162171,0.29,1.0
-0.1546247259525038,0.295,1.0
-0.1532886967409693,0.3,1.0
-0.1520361004935865,0.305,1.0
-0.15086748664046834,0.31,1.0
-0.14978336777427378,0.315,1.0
-0.14878421942536793,0.32,1.0
-0.14787047985323887,0.325,1.0
-0.14704254985426227,0.33,1.0
-0.14630079258589904,0.335,1.0
-0.14564553340740236,0.34,1.0
-0.1450770597371045,0.34500000000000003,1.0
-0.14459562092634537,0.35000000000000003,1.0
-0.14420142815009915,0.355,1.0
-0.14389465431434567,0.36,1.0
-0.1436754339802283,0.365,1.0
-0.14354386330503088,0.37,1.0
-0.14350000000000002,0.375,1.0
-0.14354386330503088,0.38,1.0
-0.14367543398022833,0.385,1.0
-0.14389465431434567,0.39,1.0
-0.14420142815009918,0.395,1.0
-0.14459562092634537,0.4,1.0
-0.1450770597371045,0.405,1.0
-0.14564553340740236,0.41000000000000003,1.0
-0.14630079258589904,0.41500000000000004,1.0
-0.14704254985426224,0.42,1.0
-0.14787047985323887,0.425,1.0
-0.14878421942536793,0.43,1.0
-0.14978336777427376,0.435,1.0
-0.15086748664046834,0.44,1.0
