x,y,z
-0.8015,0.0,1.0
-0.7973115160233286,0.005,1.0
-0.79312486925416,0.01,1.0
-0.7889418960941373,0.015,1.0
-0.7847644313335369,0.02,1.0
-0.7805943073464693,0.025,1.0
-0.7764333532871391,0.03,1.0
-0.7722833942875177,0.035,1.0
-0.7681462506567796,0.04,1.0
-0.7640237370828551,0.045,1.0
-0.7599176618364482,0.05,1.0
-0.7558298259778689,0.055,1.0
-0.7517620225670291,0.06,1.0
-0.7477160358769468,0.065,1.0
-0.7436936406111057,0.07,1.0
-0.7396966011250105,0.075,1.0
-0.7357266706522834,0.08,1.0
-0.731785590535637,0.085,1.0
-0.7278750894630643,0.09,1.0
-0.7239968827095794,0.095,1.0
-0.72015267138484,0.1,1.0
-0.7163441416869855,0.105,1.0
-0.7125729641630145,0.11,1.0
-0.7088407929760276,0.115,1.0
-0.7051492651796569,0.12,1.0
-0.7015,0.125,1.0
-0.6978945981253739,0.13,1.0
-0.6943346410042006,0.135,1.0
-0.6908216901513312,0.14,1.0
-0.6873572864631137,0.145,1.0
-0.6839429495415054,0.15,1.0
-0.680580177027525,0.155,1.0
-0.6772704439443379,0.16,1.0
-0.674015202050262,0.165,1.0
-0.6708158792019789,0.17,1.0
-0.6676738787282284,0.17500000000000002,1.0
-0.6645905788142622,0.18,1.0
-0.6615673318973269,0.185,1.0
-0.6586054640734393,0.19,1.0
-0.6557062745157176,0.195,1.0
-0.6528710349045211,0.2,1.0
-0.6501009888696487,0.20500000000000002,1.0
-0.6473973514448421,0.21,1.0
-0.644761308534832,0.215,1.0
-0.6421940163951607,0.22,1.0
-0.6396966011250105,0.225,1.0
-0.6372701581732592,0.23,1.0
-0.6349157518579801,0.23500000000000001,1.0
-0.632634414899597,0.24,1.0
-0.6304271479678987,0.245,1.0
-0.6282949192431123,0.25,1.0
-0.6262386639912273,0.255,1.0
-0.6242592841537571,0.26,1.0
-0.6223576479521175,0.265,1.0
-0.6205345895067961,0.27,1.0
-0.6187909084714798,0.275,1.0
-0.6171273696822999,0.28,1.0
-0.6155447028223497,0.28500000000000003,1.0
-0.6140436021016217,0.29,1.0
-0.6126247259525037,0.295,1.0
-0.6112886967409692,0.3,1.0
-0.6100361004935865,0.305,1.0
-0.6088674866404683,0.31,1.0
-0.6077833677742738,0.315,1.0
-0.6067842194253679,0.32,1.0
-0.6058704798532388,0.325,1.0
-0.6050425498542622,0.33,1.0
-0.604300792585899,0.335,1.0
-0.6036455334074023,0.34,1.0
-0.6030770597371045,0.34500000000000003,1.0
-0.6025956209263453,0.35000000000000003,1.0
-0.6022014281500991,0.355,1.0
-0.6018946543143456,0.36,1.0
-0.6016754339802283,0.365,1.0
-0.6015438633050308,0.37,1.0
-0.6014999999999999,0.375,1.0
-0.6015438633050308,0.38,1.0
-0.6016754339802283,0.385,1.0
-0.6018946543143456,0.39,1.0
-0.6022014281500991,0.395,1.0
-0.6025956209263453,0.4,1.0
-0.6030770597371045,0.405,1.0
-0.6036455334074023,0.41000000000000003,1.0
-0.604300792585899,0.41500000000000004,1.0
-0.6050425498542622,0.42,1.0
-0.6058704798532388,0.425,1.0
-0.6067842194253679,0.43,1.0
-0.6077833677742737,0.435,1.0
-0.6088674866404683,0.44,1.0
-0.6100361004935865,0.445,1.0
-0.6112886967409692,0.45,1.0
-0.6126247259525037,0.455,1.0
-0.6140436021016217,0.46,1.0
-0.6155447028223497,0.465,1.0
-0.6171273696822999,0.47000000000000003,1.0
-0.6187909084714798,0.47500000000000003,1.0
-0.6205345895067961,0.48,1.0
-0.6223576479521175,0.485,1.0
-0.6242592841537571,0.49,1.0
-0.6262386639912273,0.495,1.0
-0.6282949192431122,0.5,1.0
-0.6304271479678987,0.505,1.0
-0.6326344148995969,0.51,1.0
-0.63491575185798,0.515,1.0
-0.6372701581732592,0.52,1.0
-0.6396966011250105,0.525,1.0
-0.6421940163951607,0.53,1.0
-0.644761308534832,0.535,1.0
-0.6473973514448421,0.54,1.0
-0.6501009888696487,0.545,1.0
-0.6528710349045211,0.55,1.0
-0.6557062745157176,0.555,1.0
-0.6586054640734393,0.56,1.0
-0.661567331897327,0.5650000000000001,1.0
-0.6645905788142623,0.5700000000000001,1.0
-0.6676738787282284,0.5750000000000001,1.0
-0.6708158792019788,0.58,1.0
-0.674015202050262,0.585,1.0
-0.6772704439443379,0.59,1.0
-0.680580177027525,0.595,1.0
-0.6839429495415054,0.6,1.0
-0.6873572864631137,0.605,1.0
-0.6908216901513312,0.61,1.0
-0.6943346410042006,0.615,1.0
-0.6978945981253739,0.62,1.0
-0.7015,0.625,1.0
-0.7051492651796569,0.63,1.0
-0.7088407929760276,0.635,1.0
-0.7125729641630145,0.64,1.0
-0.7163441416869855,0.645,1.0
-0.7201526713848398,0.65,1.0
-0.7239968827095793,0.655,1.0
-0.7278750894630645,0.66,1.0
-0.731785590535637,0.665,1.0
-0.7357266706522834,0.67,1.0
-0.7396966011250105,0.675,1.0
-0.7436936406111058,0.68,1.0
-0.7477160358769469,0.685,1.0
-0.7517620225670291,0.6900000000000001,1.0
-0.7558298259778689,0.6950000000000001,1.0
-0.7599176618364482,0.7000000000000001,1.0
-0.764023737082855,0.705,1.0
-0.7681462506567794,0.71,1.0
-0.7722833942875176,0.715,1.0
-0.7764333532871391,0.72,1.0
-0.7805943073464693,0.725,1.0
-0.7847644313335368,0.73,1.0
-0.7889418960941372,0.735,1.0
-0.7931248692541601,0.74,1.0
-0.7973115160233286,0.745,1.0
-0.8015,0.75,1.0
-0.8056884839766714,0.755,1.0
-0.8098751307458398,0.76,1.0
-0.8140581039058626,0.765,1.0
-0.8182355686664631,0.77,1.0
-0.8224056926535307,0.775,1.0
-0.8265666467128607,0.78,1.0
-0.8307166057124823,0.785,1.0
-0.8348537493432204,0.79,1.0
-0.838976262917145,0.795,1.0
-0.8430823381635518,0.8,1.0
-0.8471701740221311,0.805,1.0
-0.851237977432971,0.81,1.0
-0.8552839641230532,0.8150000000000001,1.0
-0.8593063593888943,0.8200000000000001,1.0
-0.8633033988749894,0.8250000000000001,1.0
-0.8672733293477167,0.8300000000000001,1.0
-0.8712144094643629,0.835,1.0
-0.8751249105369355,0.84,1.0
-0.8790031172904206,0.845,1.0
-0.88284732861516,0.85,1.0
-0.8866558583130144,0.855,1.0
