x,y,z
-0.1145,0.0,1.0
-0.11031151602332862,0.005,1.0
-0.10612486925416008,0.01,1.0
-0.10194189609413733,0.015,1.0
-0.0977644313335369,0.02,1.0
-0.09359430734646931,0.025,1.0
-0.08943335328713915,0.03,1.0
-0.08528339428751767,0.035,1.0
-0.08114625065677955,0.04,1.0
-0.07702373708285506,0.045,1.0
-0.07291766183644813,0.05,1.0
-0.06882982597786885,0.055,1.0
-0.06476202256702904,0.06,1.0
-0.06071603587694685,0.065,1.0
-0.05669364061110567,0.07,1.0
-0.05269660112501051,0.075,1.0
-0.04872667065228334,0.08,1.0
-0.04478559053563694,0.085,1.0
-0.040875089463064396,0.09,1.0
-0.03699688270957942,0.095,1.0
-0.03315267138483996,0.1,1.0
-0.029344141686985473,0.105,1.0
-0.025572964163014508,0.11,1.0
-0.02184079297602766,0.115,1.0
-0.018149265179656968,0.12,1.0
-0.014500000000000027,0.125,1.0
-0.01089459812537398,0.13,1.0
-0.007334641004200684,0.135,1.0
-0.0038216901513312,0.14,1.0
-0.0003572864631136846,0.145,1.0
0.003057050458494609,0.15,1.0
0.006419822972474967,0.155,1.0
0.009729556055662059,0.16,1.0
0.012984797949737961,0.165,1.0
0.016184120798021104,0.17,1.0
0.01932612127177165,0.17500000000000002,1.0
0.022409421185737757,0.18,1.0
0.025432668102673098,0.185,1.0
0.028394535926560674,0.19,1.0
0.03129372548428232,0.195,1.0
0.034128965095478844,0.2,1.0
0.03689901113035131,0.20500000000000002,1.0
0.03960264855515787,0.21,1.0
0.04223869146516797,0.215,1.0
0.04480598360483927,0.22,1.0
0.04730339887498951,0.225,1.0
0.049729841826740825,0.23,1.0
0.05208424814201991,0.23500000000000001,1.0
0.054365585100403,0.24,1.0
0.056572852032101315,0.245,1.0
0.0587050807568877,0.25,1.0
0.06076133600877269,0.255,1.0
0.06274071584624293,0.26,1.0
0.06464235204788253,0.265,1.0
0.06646541049320391,0.27,1.0
0.06820909152852019,0.275,1.0
0.06987263031770012,0.28,1.0
0.0714552971776503,0.28500000000000003,1.0
0.07295639789837831,0.29,1.0
0.07437527404749623,0.295,1.0
0.07571130325903073,0.3,1.0
0.07696389950641351,0.305,1.0
0.07813251335953168,0.31,1.0
0.07921663222572624,0.315,1.0
0.08021578057463209,0.32,1.0
0.08112952014676116,0.325,1.0
0.08195745014573776,0.33,1.0
0.08269920741410099,0.335,1.0
0.08335446659259767,0.34,1.0
0.08392294026289553,0.34500000000000003,1.0
0.08440437907365465,0.35000000000000003,1.0
0.08479857184990088,0.355,1.0
0.08510534568565435,0.36,1.0
0.08532456601977172,0.365,1.0
0.08545613669496914,0.37,1.0
0.0855,0.375,1.0
0.08545613669496914,0.38,1.0
